"","X01桐壺","X02帚木","X03空蝉","X04夕顔","X05若紫","X06末摘花","X07紅葉賀","X08花宴","X09葵","X10賢木","X11花散里","X12須磨","X13明石","X14澪標","X15蓬生","X16関屋","X17絵合","X18松風","X19薄雲","X20朝顔","X21少女","X22玉鬘","X23初音","X24胡蝶","X25蛍","X26常夏","X27篝火","X28野分","X29行幸","X30藤袴","X31真木柱","X32梅枝","X33藤裏葉","X34若菜上","X35若菜下","X36柏木","X37横笛","X38鈴虫","X39夕霧","X40御法","X41幻","X42匂宮","X43紅梅","X44竹河","X45橋姫","X46椎本","X47総角","X48早蕨","X49宿木","X50東屋","X51浮舟","X52蜻蛉","X53手習","X54夢浮橋","X01俊蔭","X02藤原の君","X03忠こそ","X04春日詣","X05嵯峨の院","X06祭の使","X07吹上上","X08吹上下","X09菊の宴","X10あて宮","X11内侍のかみ","X12沖つ白波","X13蔵開上","X14蔵開中","X15蔵開下","X16国譲上","X17国譲中","X18国譲下","X19楼の上上","X20楼の上下"
"オトド",83.2639467110741,21.3151444101034,0,10.4536901526239,10.6315118009781,48.8678937937775,35.9776938298255,49.7760079641613,141.81302498091,62.0860927152318,0,35.7525920629246,0,206.480304955527,0,0,355.579868708972,49.6277915632754,182.633239249543,50.0876533934385,268.924302788845,61.0798924993892,37.1885459278542,173.224449393714,106.185293336873,252.81544472535,0,142.450142450142,362.941738299905,429.338103756708,138.236107271219,329.851566794942,519.187358916479,84.1625823060548,64.2832418533353,277.567499369165,81.2127774769897,0,35.660794522502,26.8817204301075,0,74.1839762611276,39.7298371076679,173.589584624923,0,54.8696844993141,0,0,63.6976484951431,0,27.7488727020465,0,0,0,97.5329890992542,210.256879056587,736.811081638668,333.889816360601,302.474793767186,262.984878369494,202.97699594046,65.1607298001738,128.990648178007,316.632520022351,138.748065531779,365.556458164094,286.455518322344,243.572395128552,529.059363572707,313.229682783758,280.396134112874,238.54148918044,27.1241608462738,22.5199864880081
"オトナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4744693057946,73.1328274979431,0,83.4724540901503,18.3318056828598,21.9154065307911,22.55299954894,0,16.1238310222509,93.1272117712796,21.3458562356583,60.9260763606824,37.833747702951,18.042399639152,7.78028475842216,28.4754257076143,29.8293759694547,25.5580166979042,61.0293619041161,56.2999662200203
"オボエ",124.895920066611,63.9454332303101,0,10.4536901526239,0,16.2892979312592,89.9442345745638,0,10.9086942293008,41.3907284768212,138.121546961326,11.9175306876415,0,31.7662007623888,21.7155266015201,0,82.0568927789934,49.6277915632754,83.0151087497925,75.1314800901578,49.800796812749,48.8639139995114,37.1885459278542,24.7463499133878,132.731616671091,183.865777982073,0,56.980056980057,95.5109837631328,143.112701252236,41.4708321813658,0,45.1467268623025,69.3103618991039,54.3935123374376,37.8501135503407,27.0709258256632,0,14.2643178090008,0,0,259.643916913947,39.7298371076679,61.9962802231866,27.401013837512,27.4348422496571,11.4698629351379,0,58.3895111205478,30.7715978152166,13.8744363510232,8.47601288353958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"オホミヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5664137489716,0,0,9.16590284142988,54.7885163269779,11.27649977447,0,153.176394711383,149.003538834047,0,60.9260763606824,113.501243108853,0,31.1211390336886,96.8164474058887,59.6587519389094,85.1933889930141,13.5620804231369,39.4099763540142
"オマヘ",83.2639467110741,0,45.7247370827618,41.8147606104955,0,0,35.9776938298255,99.5520159283225,54.5434711465038,93.1291390728477,0,35.7525920629246,38.1436745073109,0,0,0,27.3522975929978,0,49.8090652498755,50.0876533934385,109.561752988048,36.6479354996335,223.131275567125,123.731749566939,53.0926466684364,45.9664444955183,153.139356814701,142.450142450142,38.2043935052531,71.5563506261181,0,137.438152831226,158.013544018059,39.6059210852022,39.558918063591,12.6167045167802,54.1418516513265,72.7802037845706,21.3964767135012,53.7634408602151,233.317778814746,37.0919881305638,79.4596742153357,86.7947923124613,54.802027675024,54.8696844993141,40.1445202729827,56.2271577171774,47.7732363713573,38.4644972690207,20.8116545265349,84.7601288353958,49.2229800998523,0,63.1095811818703,82.274430935186,44.2086648983201,83.4724540901503,82.4931255728689,197.23865877712,169.14749661705,0,80.6191551112544,37.2508847085118,101.392817119377,40.6173842404549,86.4771376067452,126.296797474064,132.264840893177,119.59678797198,89.4881279083642,42.5966944965071,33.9052010578423,50.6699695980182
"オモヒ",41.631973355537,10.6575722050517,0,0,10.6315118009781,0,0,0,32.7260826879023,10.3476821192053,0,11.9175306876415,63.5727908455181,0,21.7155266015201,0,54.7045951859956,49.6277915632754,0,0,9.9601593625498,0,0,0,79.6389700026546,45.9664444955183,0,85.4700854700855,38.2043935052531,35.778175313059,0,0,22.5733634311512,39.6059210852022,24.7243237897443,37.8501135503407,81.2127774769897,0,14.2643178090008,80.6451612903226,46.6635557629491,185.459940652819,0,12.3992560446373,41.101520756268,13.7174211248285,11.4698629351379,28.1135788585887,5.30813737459525,0,27.7488727020465,16.9520257670792,0,84.3644544431946,11.4744693057946,18.2832068744858,29.4724432655467,20.8681135225376,9.16590284142988,21.9154065307911,0,0,8.06191551112544,37.2508847085118,5.33646405891456,40.6173842404549,16.2144633012647,9.021199819576,7.78028475842216,28.4754257076143,65.6246271328004,59.6353722951099,54.2483216925476,16.8899898660061
"オヤ",20.8159866777685,95.9181498454652,45.7247370827618,10.4536901526239,10.6315118009781,16.2892979312592,17.9888469149128,0,43.634776917203,10.3476821192053,0,11.9175306876415,63.5727908455181,79.4155019059721,65.1465798045603,0,0,74.4416873449131,66.412086999834,100.175306786877,39.8406374501992,97.7278279990227,0,173.224449393714,185.824263339527,183.865777982073,153.139356814701,56.980056980057,19.1021967526266,107.334525939177,55.2944429084877,54.9752611324904,0,24.7537006782514,24.7243237897443,63.0835225839011,27.0709258256632,0,21.3964767135012,0,0,37.0919881305638,0,24.7985120892746,13.700506918756,27.4348422496571,17.2047944027069,28.1135788585887,10.6162747491905,38.4644972690207,62.4349635796046,16.9520257670792,77.3503972997679,140.607424071991,235.226620768789,18.2832068744858,117.889773062187,125.208681135225,27.4977085242896,65.7462195923734,45.10599909788,65.1607298001738,32.2476620445018,18.6254423542559,37.3552484124019,60.9260763606824,48.6433899037942,45.10599909788,140.045125651599,74.0361068397973,119.317503877819,110.751405690918,27.1241608462738,22.5199864880081
"オンゾ",41.631973355537,10.6575722050517,91.4494741655236,10.4536901526239,42.5260472039124,48.8678937937775,17.9888469149128,49.7760079641613,54.5434711465038,51.7384105960265,0,47.6701227505661,12.7145581691036,0,21.7155266015201,0,27.3522975929978,0,16.6030217499585,50.0876533934385,9.9601593625498,12.2159784998778,0,24.7463499133878,26.5463233342182,0,0,28.4900284900285,38.2043935052531,35.778175313059,55.2944429084877,0,67.7200902934537,19.8029605426011,34.6140533056421,0,27.0709258256632,0,71.3215890450039,0,23.3317778814746,0,0,0,41.101520756268,13.7174211248285,45.8794517405517,0,42.465098996762,15.3857989076083,27.7488727020465,33.9040515341583,7.0318542999789,0,0,18.2832068744858,14.7362216327734,20.8681135225376,36.6636113657195,43.8308130615823,11.27649977447,0,8.06191551112544,74.5017694170237,26.6823202945728,0,91.8819587071668,27.063599458728,23.3408542752665,22.7803405660915,29.8293759694547,17.0386777986028,0,33.7799797320122
"カギリ",104.079933388843,53.2878610252584,45.7247370827618,20.9073803052478,10.6315118009781,48.8678937937775,71.955387659651,0,65.4521653758045,41.3907284768212,138.121546961326,95.3402455011322,101.716465352829,15.8831003811944,130.293159609121,0,136.761487964989,99.2555831265509,116.221152249709,25.0438266967193,49.800796812749,12.2159784998778,74.3770918557084,24.7463499133878,79.6389700026546,22.9832222477591,0,28.4900284900285,38.2043935052531,0,82.9416643627315,82.4628916987356,22.5733634311512,79.2118421704045,133.511348464619,100.933636134242,81.2127774769897,145.560407569141,71.3215890450039,80.6451612903226,46.6635557629491,74.1839762611276,39.7298371076679,49.5970241785493,41.101520756268,96.0219478737997,68.8191776108276,56.2271577171774,31.8488242475715,23.0786983614124,41.6233090530697,42.3800644176979,63.2866886998101,0,63.1095811818703,18.2832068744858,29.4724432655467,20.8681135225376,54.9954170485793,54.7885163269779,67.65899864682,108.601216333623,24.1857465333763,93.1272117712796,80.0469608837185,101.543460601137,16.2144633012647,54.127198917456,23.3408542752665,11.3901702830457,5.96587519389094,42.5966944965071,67.8104021156845,123.859925684045
"カゲ",41.631973355537,10.6575722050517,0,10.4536901526239,10.6315118009781,16.2892979312592,35.9776938298255,49.7760079641613,0,10.3476821192053,138.121546961326,23.835061375283,12.7145581691036,31.7662007623888,21.7155266015201,0,0,24.8138957816377,16.6030217499585,25.0438266967193,59.7609561752988,0,74.3770918557084,24.7463499133878,0,0,0,0,0,35.778175313059,0,0,112.866817155756,64.3596217634536,9.88972951589774,0,0,36.3901018922853,14.2643178090008,0,0,37.0919881305638,0,0,27.401013837512,41.1522633744856,5.73493146756896,0,10.6162747491905,15.3857989076083,13.8744363510232,8.47601288353958,7.0318542999789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
